station,Datatime,lon,lat,airpressure,DryBulbSensor,HOBO_rh,HOBO_solar,HOBO_ws,Wet bulb_calculation,Globe bulb_calculation,WBGT_calculation,iso7243_Tg150,wet_bulb,globe_bulb_50mm,globe_bulb_150mm,WBGTo
SINICA,2019/10/22 11:40,121.61416670000001,25.0405,1013.25,27.615,59.01,731.3,1.05,23.93,40.44,27.6,45.42,23.93,40.44,45.42,28.6
SINICA,2019/10/22 11:50,121.61416670000001,25.0405,1013.25,27.744,58.13,724.1,1.15,23.76,40.04,27.4,44.88,23.76,40.04,44.88,28.38
SINICA,2019/10/22 12:00,121.61416670000001,25.0405,1013.25,27.936,57.48,715.3,1.0,23.97,40.65,27.7,45.54,23.97,40.65,45.54,28.68
SINICA,2019/10/22 12:10,121.61416670000001,25.0405,1013.25,27.691,57.53,709.6,1.45,23.32,38.78,26.8,43.31,23.32,38.78,43.31,27.76
SINICA,2019/10/22 12:20,121.61416670000001,25.0405,1013.25,27.735,57.56,697.0,1.05,23.71,39.9,27.4,44.62,23.71,39.9,44.62,28.29
SINICA,2019/10/22 12:30,121.61416670000001,25.0405,1013.25,27.636999999999997,57.32,690.2,1.5,23.16,38.26,26.6,42.62,23.16,38.26,42.62,27.5
SINICA,2019/10/22 12:40,121.61416670000001,25.0405,1013.25,27.923000000000002,56.64,676.0,1.1,23.61,39.5,27.2,44.03,23.61,39.5,44.03,28.13
SINICA,2019/10/22 12:50,121.61416670000001,25.0405,1013.25,28.070999999999998,55.34,664.5,1.05,23.55,39.59,27.2,44.06,23.55,39.59,44.06,28.1
SINICA,2019/10/22 13:00,121.61416670000001,25.0405,1013.25,27.747,55.45,652.9,1.2,23.11,38.54,26.7,42.82,23.11,38.54,42.82,27.52
SINICA,2019/10/22 13:10,121.61416670000001,25.0405,1013.25,27.576999999999998,55.26,633.3,1.25,22.85,37.86,26.3,41.97,22.85,37.86,41.97,27.15
SINICA,2019/10/22 13:20,121.61416670000001,25.0405,1013.25,28.031999999999996,54.6,616.7,1.05,23.26,38.64,26.8,42.76,23.26,38.64,42.76,27.64
SINICA,2019/10/22 13:30,121.61416670000001,25.0405,1013.25,27.648000000000003,54.98,602.3,1.25,22.78,37.38,26.2,41.27,22.78,37.38,41.27,26.96
SINICA,2019/10/22 13:40,121.61416670000001,25.0405,1013.25,27.38,55.35,583.6,1.25,22.58,36.79,25.9,40.55,22.58,36.79,40.55,26.65
SINICA,2019/10/22 13:50,121.61416670000001,25.0405,1013.25,27.557,55.0,561.0,1.05,22.79,37.12,26.1,40.83,22.79,37.12,40.83,26.87
SINICA,2019/10/22 14:00,121.61416670000001,25.0405,1013.25,27.74,54.27,535.3,0.8,23.05,37.66,26.4,41.32,23.05,37.66,41.32,27.17
SINICA,2019/10/22 14:10,121.61416670000001,25.0405,1013.25,27.234,54.6,511.3,1.6,21.92,34.66,25.0,37.74,21.92,34.66,37.74,25.62
SINICA,2019/10/22 14:20,121.61416670000001,25.0405,1013.25,27.244,54.1,486.6,1.2,22.04,35.0,25.2,38.08,22.04,35.0,38.08,25.77
SINICA,2019/10/22 14:30,121.61416670000001,25.0405,1013.25,27.123,53.77,464.9,1.3,21.75,34.28,24.8,37.16,21.75,34.28,37.16,25.37
SINICA,2019/10/22 14:40,121.61416670000001,25.0405,1013.25,27.305,53.27,440.5,0.85,22.15,35.07,25.2,37.97,22.15,35.07,37.97,25.83
SINICA,2019/10/22 14:50,121.61416670000001,25.0405,1013.25,26.805999999999997,53.96,399.1,1.3,21.33,32.79,24.2,35.19,21.33,32.79,35.19,24.65
SINICA,2019/10/22 15:00,121.61416670000001,25.0405,1013.25,26.436999999999998,55.74,256.4,1.1,20.94,30.14,23.3,31.59,20.94,30.14,31.59,23.62
SINICA,2019/10/22 15:10,121.61416670000001,25.0405,1013.25,26.005,57.54,201.6,0.6,20.99,29.28,23.2,30.42,20.99,29.28,30.42,23.38
SINICA,2019/10/22 15:20,121.61416670000001,25.0405,1013.25,26.529,57.13,275.9,0.2,22.93,33.31,25.4,35.08,22.93,33.31,35.08,25.72
SINICA,2019/10/22 15:30,121.61416670000001,25.0405,1013.25,26.484,57.39,289.2,0.65,21.74,31.66,24.2,33.49,21.74,31.66,33.49,24.56
SINICA,2019/10/22 15:40,121.61416670000001,25.0405,1013.25,25.958000000000002,59.0,179.8,0.8,20.91,28.52,22.9,29.47,20.91,28.52,29.47,23.13
SINICA,2019/10/22 15:50,121.61416670000001,25.0405,1013.25,25.322,61.43,113.4,0.65,20.51,26.59,22.2,27.04,20.51,26.59,27.04,22.3
SINICA,2019/10/22 16:00,121.61416670000001,25.0405,1013.25,25.018,63.41,80.6,0.6,20.4,25.58,21.9,25.78,20.4,25.58,25.78,21.94
SINICA,2019/10/22 16:10,121.61416670000001,25.0405,1013.25,24.875,64.69,56.1,0.45,20.39,24.83,21.7,24.82,20.39,24.83,24.82,21.72
SINICA,2019/10/22 16:20,121.61416670000001,25.0405,1013.25,24.688000000000002,65.81,46.5,0.75,20.24,24.45,21.5,24.36,20.24,24.45,24.36,21.51
SINICA,2019/10/22 16:30,121.61416670000001,25.0405,1013.25,24.424,67.2,35.1,0.55,20.18,23.89,21.3,23.71,20.18,23.89,23.71,21.31
SINICA,2019/10/22 16:40,121.61416670000001,25.0405,1013.25,24.37,67.95,24.0,0.2,20.28,23.35,21.3,23.08,20.28,23.35,23.08,21.25
SINICA,2019/10/22 16:50,121.61416670000001,25.0405,1013.25,24.168000000000003,68.35,13.5,1.05,19.97,23.33,21.1,23.0,19.97,23.33,23.0,21.0
SINICA,2019/10/22 17:00,121.61416670000001,25.0405,1013.25,24.064,68.22,6.3,0.95,19.83,23.04,20.9,22.65,19.83,23.04,22.65,20.82
SINICA,2019/10/22 17:10,121.61416670000001,25.0405,1013.25,23.996,68.23,2.1,0.85,19.75,22.84,20.8,22.41,19.75,22.84,22.41,20.71
SINICA,2019/10/22 17:20,121.61416670000001,25.0405,1013.25,23.885,68.67,1.0,0.25,19.71,22.19,20.6,21.72,19.71,22.19,21.72,20.53
SINICA,2019/10/22 17:30,121.61416670000001,25.0405,1013.25,23.794,69.05,1.0,0.65,19.67,22.51,20.7,22.06,19.67,22.51,22.06,20.56
SINICA,2019/10/22 17:40,121.61416670000001,25.0405,1013.25,23.625,69.93,1.0,0.8,19.64,22.43,20.6,21.99,19.64,22.43,21.99,20.51
SINICA,2019/10/22 17:50,121.61416670000001,25.0405,1013.25,23.495,70.71,1.0,1.15,19.63,22.45,20.6,22.04,19.63,22.45,22.04,20.5
SINICA,2019/10/22 18:00,121.61416670000001,25.0405,1013.25,23.384,71.49,1.0,0.8,19.63,22.2,20.5,21.76,19.63,22.2,21.76,20.43
SINICA,2019/10/22 18:10,121.61416670000001,25.0405,1013.25,23.363000000000003,71.68,1.0,0.4,19.63,21.9,20.5,21.44,19.63,21.9,21.44,20.37
SINICA,2019/10/22 18:20,121.61416670000001,25.0405,1013.25,23.371,71.7,1.0,0.55,19.65,22.05,20.5,21.6,19.65,22.05,21.6,20.41
SINICA,2019/10/22 18:30,121.61416670000001,25.0405,1013.25,23.305999999999997,72.02,1.0,0.35,19.62,21.79,20.4,21.33,19.62,21.79,21.33,20.33
SINICA,2019/10/22 18:40,121.61416670000001,25.0405,1013.25,23.261,72.44,1.0,0.25,19.62,21.6,20.4,21.14,19.62,21.6,21.14,20.29
SINICA,2019/10/22 18:50,121.61416670000001,25.0405,1013.25,23.051,73.4,1.0,0.5,19.58,21.69,20.3,21.24,19.58,21.69,21.24,20.26
SINICA,2019/10/22 19:00,121.61416670000001,25.0405,1013.25,22.982,73.95,1.0,0.8,19.6,21.82,20.4,21.39,19.6,21.82,21.39,20.3
SINICA,2019/10/22 19:10,121.61416670000001,25.0405,1013.25,23.088,73.69,1.0,0.25,19.62,21.45,20.3,20.99,19.62,21.45,20.99,20.24
SINICA,2019/10/22 19:20,121.61416670000001,25.0405,1013.25,23.092,73.82,1.0,0.3,19.65,21.53,20.4,21.07,19.65,21.53,21.07,20.28
SINICA,2019/10/22 19:30,121.61416670000001,25.0405,1013.25,23.066,73.92,1.0,0.1,19.59,21.03,20.2,20.61,19.59,21.03,20.61,20.14
SINICA,2019/10/22 19:40,121.61416670000001,25.0405,1013.25,23.119,73.72,1.0,0.05,19.61,21.09,20.3,20.77,19.61,21.09,20.77,20.19
SINICA,2019/10/22 19:50,121.61416670000001,25.0405,1013.25,23.088,73.86,1.0,0.0,19.6,21.06,20.2,21.06,19.6,21.06,21.06,20.24
SINICA,2019/10/22 20:00,121.61416670000001,25.0405,1013.25,23.068,73.93,1.0,0.0,19.59,21.04,20.2,21.04,19.59,21.04,21.04,20.23
SINICA,2019/10/22 20:10,121.61416670000001,25.0405,1013.25,23.021,74.24,1.0,0.0,19.58,20.99,20.2,20.99,19.58,20.99,20.99,20.21
SINICA,2019/10/22 20:20,121.61416670000001,25.0405,1013.25,22.885,75.14,1.0,0.0,19.56,20.86,20.2,20.86,19.56,20.86,20.86,20.15
SINICA,2019/10/22 20:30,121.61416670000001,25.0405,1013.25,22.836,75.74,1.0,0.0,19.59,20.83,20.2,20.83,19.59,20.83,20.83,20.16
SINICA,2019/10/22 20:40,121.61416670000001,25.0405,1013.25,22.88,75.73,1.0,0.05,19.63,20.87,20.2,20.56,19.63,20.87,20.56,20.14
SINICA,2019/10/22 20:50,121.61416670000001,25.0405,1013.25,22.545,76.98,1.0,0.65,19.58,21.33,20.2,20.9,19.58,21.33,20.9,20.14
SINICA,2019/10/22 21:00,121.61416670000001,25.0405,1013.25,22.543000000000003,77.03,1.0,0.55,19.57,21.26,20.2,20.82,19.57,21.26,20.82,20.12
SINICA,2019/10/22 21:10,121.61416670000001,25.0405,1013.25,22.494,77.16,1.0,0.5,19.54,21.17,20.2,20.73,19.54,21.17,20.73,20.07
SINICA,2019/10/22 21:20,121.61416670000001,25.0405,1013.25,22.378,77.98,1.0,0.45,19.53,21.01,20.1,20.56,19.53,21.01,20.56,20.02
SINICA,2019/10/22 21:30,121.61416670000001,25.0405,1013.25,22.493000000000002,77.58,1.0,0.1,19.49,20.5,20.0,20.09,19.49,20.5,20.09,19.91
SINICA,2019/10/22 21:40,121.61416670000001,25.0405,1013.25,22.601,77.1,1.0,0.0,19.52,20.6,20.0,20.6,19.52,20.6,20.6,20.04
SINICA,2019/10/22 21:50,121.61416670000001,25.0405,1013.25,22.484,77.53,1.0,0.1,19.47,20.48,20.0,20.07,19.47,20.48,20.07,19.89
SINICA,2019/10/22 22:00,121.61416670000001,25.0405,1013.25,22.434,78.02,1.0,0.0,19.48,20.44,20.0,20.44,19.48,20.44,20.44,19.97
SINICA,2019/10/22 22:10,121.61416670000001,25.0405,1013.25,22.443,78.39,1.0,0.05,19.54,20.46,20.0,20.15,19.54,20.46,20.15,19.95
SINICA,2019/10/22 22:20,121.61416670000001,25.0405,1013.25,22.384,78.73,1.0,0.0,19.52,20.41,20.0,20.41,19.52,20.41,20.41,19.98
SINICA,2019/10/22 22:30,121.61416670000001,25.0405,1013.25,22.218000000000004,79.52,1.0,0.0,19.45,20.25,19.9,20.25,19.45,20.25,20.25,19.89
SINICA,2019/10/22 22:40,121.61416670000001,25.0405,1013.25,22.19,80.02,1.0,0.2,19.55,20.52,20.0,20.09,19.55,20.52,20.09,19.92
SINICA,2019/10/22 22:50,121.61416670000001,25.0405,1013.25,22.16,80.19,1.0,0.0,19.47,20.2,19.9,20.2,19.47,20.2,20.2,19.88
SINICA,2019/10/22 23:00,121.61416670000001,25.0405,1013.25,22.12,80.53,1.0,0.0,19.47,20.16,19.9,20.16,19.47,20.16,20.16,19.87
SINICA,2019/10/22 23:10,121.61416670000001,25.0405,1013.25,22.138,80.72,1.0,0.05,19.51,20.19,19.9,19.89,19.51,20.19,19.89,19.85
SINICA,2019/10/22 23:20,121.61416670000001,25.0405,1013.25,22.151999999999997,80.74,1.0,0.15,19.58,20.37,20.0,19.95,19.58,20.37,19.95,19.91
SINICA,2019/10/22 23:30,121.61416670000001,25.0405,1013.25,22.098000000000003,80.86,1.0,0.0,19.48,20.15,19.9,20.15,19.48,20.15,20.15,19.88
SINICA,2019/10/22 23:40,121.61416670000001,25.0405,1013.25,22.01,81.45,1.0,0.05,19.47,20.07,19.8,19.77,19.47,20.07,19.77,19.78
SINICA,2019/10/22 23:50,121.61416670000001,25.0405,1013.25,22.025,81.61,1.0,0.0,19.5,20.09,19.9,20.09,19.5,20.09,20.09,19.87
SINICA,2019/10/23 00:00,121.61416670000001,25.0405,1013.25,21.974,81.81,1.0,0.0,19.47,20.04,19.8,20.04,19.47,20.04,20.04,19.83
SINICA,2019/10/23 00:10,121.61416670000001,25.0405,1013.25,21.81,83.04,1.0,0.0,19.46,19.89,19.8,19.89,19.46,19.89,19.89,19.78
SINICA,2019/10/23 00:20,121.61416670000001,25.0405,1013.25,21.642,84.31,1.0,0.0,19.44,19.73,19.7,19.73,19.44,19.73,19.73,19.72
SINICA,2019/10/23 00:30,121.61416670000001,25.0405,1013.25,21.423000000000002,85.47,1.0,0.0,19.35,19.52,19.6,19.52,19.35,19.52,19.52,19.59
SINICA,2019/10/23 00:40,121.61416670000001,25.0405,1013.25,21.186999999999998,86.88,1.0,0.0,19.27,19.29,19.5,19.29,19.27,19.29,19.29,19.47
SINICA,2019/10/23 00:50,121.61416670000001,25.0405,1013.25,21.331999999999997,86.43,1.0,0.0,19.37,19.44,19.6,19.44,19.37,19.44,19.44,19.58
SINICA,2019/10/23 01:00,121.61416670000001,25.0405,1013.25,21.281,85.91,1.0,0.0,19.25,19.37,19.5,19.37,19.25,19.37,19.37,19.48
SINICA,2019/10/23 01:10,121.61416670000001,25.0405,1013.25,21.189,86.3,1.0,0.0,19.21,19.28,19.4,19.28,19.21,19.28,19.28,19.42
SINICA,2019/10/23 01:20,121.61416670000001,25.0405,1013.25,21.162,86.81,1.0,0.0,19.24,19.26,19.4,19.26,19.24,19.26,19.26,19.44
SINICA,2019/10/23 01:30,121.61416670000001,25.0405,1013.25,21.125,87.37,1.0,0.0,19.26,19.24,19.4,19.24,19.26,19.24,19.24,19.44
SINICA,2019/10/23 01:40,121.61416670000001,25.0405,1013.25,21.136,87.4,1.0,0.0,19.28,19.25,19.5,19.25,19.28,19.25,19.25,19.46
SINICA,2019/10/23 01:50,121.61416670000001,25.0405,1013.25,21.274,87.21,1.0,0.0,19.4,19.4,19.6,19.4,19.4,19.4,19.4,19.59
SINICA,2019/10/23 02:00,121.61416670000001,25.0405,1013.25,21.212,87.14,1.0,0.0,19.33,19.33,19.5,19.33,19.33,19.33,19.33,19.52
SINICA,2019/10/23 02:10,121.61416670000001,25.0405,1013.25,20.983,87.78,1.0,0.0,19.16,19.09,19.3,19.09,19.16,19.09,19.09,19.33
SINICA,2019/10/23 02:20,121.61416670000001,25.0405,1013.25,20.648000000000003,88.55,1.0,0.0,18.91,18.73,19.0,18.73,18.91,18.73,18.73,19.05
SINICA,2019/10/23 02:30,121.61416670000001,25.0405,1013.25,20.673000000000002,89.19,1.0,0.0,19.0,18.77,19.1,18.77,19.0,18.77,18.77,19.12
SINICA,2019/10/23 02:40,121.61416670000001,25.0405,1013.25,20.801,89.34,1.0,0.0,19.16,18.92,19.3,18.92,19.16,18.92,18.92,19.28
SINICA,2019/10/23 02:50,121.61416670000001,25.0405,1013.25,20.66,89.75,1.0,0.0,19.06,18.77,19.2,18.77,19.06,18.77,18.77,19.16
SINICA,2019/10/23 03:00,121.61416670000001,25.0405,1013.25,20.531,90.19,1.0,0.0,18.97,18.64,19.1,18.64,18.97,18.64,18.64,19.06
SINICA,2019/10/23 03:10,121.61416670000001,25.0405,1013.25,20.633000000000003,90.43,1.0,0.0,19.1,18.76,19.2,18.76,19.1,18.76,18.76,19.19
SINICA,2019/10/23 03:20,121.61416670000001,25.0405,1013.25,20.595,90.5,1.0,0.0,19.07,18.72,19.2,18.72,19.07,18.72,18.72,19.15
SINICA,2019/10/23 03:30,121.61416670000001,25.0405,1013.25,20.616,90.6,1.0,0.0,19.11,18.75,19.2,18.75,19.11,18.75,18.75,19.19
SINICA,2019/10/23 03:40,121.61416670000001,25.0405,1013.25,20.436,90.69,1.0,0.0,18.93,18.55,19.0,18.55,18.93,18.55,18.55,19.0
SINICA,2019/10/23 03:50,121.61416670000001,25.0405,1013.25,20.340999999999998,91.02,1.0,0.0,18.87,18.45,18.9,18.45,18.87,18.45,18.45,18.93
SINICA,2019/10/23 04:00,121.61416670000001,25.0405,1013.25,20.241,91.31,1.0,0.0,18.74,18.34,18.8,18.34,18.74,18.34,18.34,18.81
SINICA,2019/10/23 04:10,121.61416670000001,25.0405,1013.25,20.214000000000002,91.58,1.0,0.0,18.74,18.32,18.8,18.32,18.74,18.32,18.32,18.8
SINICA,2019/10/23 04:20,121.61416670000001,25.0405,1013.25,20.198,91.84,1.0,0.0,18.75,18.31,18.8,18.31,18.75,18.31,18.31,18.81
SINICA,2019/10/23 04:30,121.61416670000001,25.0405,1013.25,20.084,92.16,1.0,0.0,18.67,18.19,18.7,18.19,18.67,18.19,18.19,18.72
SINICA,2019/10/23 04:40,121.61416670000001,25.0405,1013.25,20.062,92.36,1.0,0.0,18.66,18.17,18.7,18.17,18.66,18.17,18.17,18.7
SINICA,2019/10/23 04:50,121.61416670000001,25.0405,1013.25,20.037,92.59,1.0,0.0,18.67,18.15,18.7,18.15,18.67,18.15,18.15,18.7
SINICA,2019/10/23 05:00,121.61416670000001,25.0405,1013.25,20.009,92.86,1.0,0.0,18.66,18.12,18.7,18.12,18.66,18.12,18.12,18.69
SINICA,2019/10/23 05:10,121.61416670000001,25.0405,1013.25,20.011,93.06,1.0,0.0,18.68,18.13,18.7,18.13,18.68,18.13,18.13,18.7
SINICA,2019/10/23 05:20,121.61416670000001,25.0405,1013.25,19.965999999999998,93.23,1.0,0.0,18.67,18.08,18.7,18.08,18.67,18.08,18.08,18.68
SINICA,2019/10/23 05:30,121.61416670000001,25.0405,1013.25,19.972,93.52,1.0,0.0,18.7,18.1,18.7,18.1,18.7,18.1,18.1,18.71
SINICA,2019/10/23 05:40,121.61416670000001,25.0405,1013.25,19.908,93.56,1.0,0.0,18.64,18.02,18.6,18.02,18.64,18.02,18.02,18.64
SINICA,2019/10/23 05:50,121.61416670000001,25.0405,1013.25,19.929000000000002,93.72,1.3,0.0,18.68,18.06,18.7,18.06,18.68,18.06,18.06,18.68
SINICA,2019/10/23 06:00,121.61416670000001,25.0405,1013.25,20.105,93.85,6.2,0.0,18.95,18.45,19.0,18.45,18.95,18.45,18.45,18.97
SINICA,2019/10/23 06:10,121.61416670000001,25.0405,1013.25,20.35,93.83,14.2,0.0,19.37,19.03,19.4,19.03,19.37,19.03,19.03,19.4
SINICA,2019/10/23 06:20,121.61416670000001,25.0405,1013.25,20.563000000000002,93.83,25.2,0.0,19.75,19.7,19.8,19.7,19.75,19.7,19.7,19.82
SINICA,2019/10/23 06:30,121.61416670000001,25.0405,1013.25,20.607,93.7,41.0,0.0,20.01,20.35,20.1,20.35,20.01,20.35,20.35,20.14
SINICA,2019/10/23 06:40,121.61416670000001,25.0405,1013.25,20.898000000000003,93.5,60.1,0.0,20.55,21.45,20.8,21.45,20.55,21.45,21.45,20.76
SINICA,2019/10/23 06:50,121.61416670000001,25.0405,1013.25,22.03,92.91,131.5,0.0,22.56,25.38,23.1,25.38,22.56,25.38,25.38,23.07
SINICA,2019/10/23 07:00,121.61416670000001,25.0405,1013.25,23.271,91.47,116.8,0.0,23.42,26.17,24.0,26.17,23.42,26.17,26.17,23.96
SINICA,2019/10/23 07:10,121.61416670000001,25.0405,1013.25,24.219,88.3,100.0,0.0,23.77,26.51,24.4,26.51,23.77,26.51,26.51,24.36
SINICA,2019/10/23 07:20,121.61416670000001,25.0405,1013.25,23.72,85.61,111.8,0.0,23.13,26.32,23.8,26.32,23.13,26.32,26.32,23.83
SINICA,2019/10/23 07:30,121.61416670000001,25.0405,1013.25,24.552,83.45,113.0,0.0,23.68,27.23,24.5,27.23,23.68,27.23,27.23,24.48
SINICA,2019/10/23 07:40,121.61416670000001,25.0405,1013.25,25.070999999999998,80.68,116.8,0.05,23.89,27.86,24.8,28.29,23.89,27.86,28.29,24.89
SINICA,2019/10/23 07:50,121.61416670000001,25.0405,1013.25,25.932,78.43,162.7,0.05,24.95,30.43,26.1,31.13,24.95,30.43,31.13,26.28
SINICA,2019/10/23 08:00,121.61416670000001,25.0405,1013.25,26.254,76.43,259.0,0.05,26.09,34.2,27.7,35.43,26.09,34.2,35.43,27.97
SINICA,2019/10/23 08:10,121.61416670000001,25.0405,1013.25,25.796,76.16,267.4,0.1,25.73,34.0,27.4,35.68,25.73,34.0,35.68,27.73
SINICA,2019/10/23 08:20,121.61416670000001,25.0405,1013.25,25.449,76.25,210.9,0.55,23.27,29.42,24.7,30.78,23.27,29.42,30.78,24.99
SINICA,2019/10/23 08:30,121.61416670000001,25.0405,1013.25,24.75,78.07,263.9,1.05,22.75,28.97,24.2,30.61,22.75,28.97,30.61,24.52
SINICA,2019/10/23 08:40,121.61416670000001,25.0405,1013.25,25.444000000000003,76.98,306.1,0.55,23.82,31.68,25.6,33.81,23.82,31.68,33.81,25.98
SINICA,2019/10/23 08:50,121.61416670000001,25.0405,1013.25,25.453000000000003,75.76,242.1,0.6,23.3,30.03,24.9,31.62,23.3,30.03,31.62,25.18
SINICA,2019/10/23 09:00,121.61416670000001,25.0405,1013.25,25.729,74.85,303.4,0.5,23.85,32.05,25.7,34.16,23.85,32.05,34.16,26.1
SINICA,2019/10/23 09:10,121.61416670000001,25.0405,1013.25,26.59,72.18,526.6,0.8,24.72,36.66,27.3,40.38,24.72,36.66,40.38,28.04
SINICA,2019/10/23 09:20,121.61416670000001,25.0405,1013.25,26.79,71.35,638.0,0.9,25.02,38.68,27.9,43.17,25.02,38.68,43.17,28.83
SINICA,2019/10/23 09:30,121.61416670000001,25.0405,1013.25,28.191999999999997,68.88,483.2,0.25,27.03,41.01,29.9,44.58,27.03,41.01,44.58,30.66
SINICA,2019/10/23 09:40,121.61416670000001,25.0405,1013.25,26.392,70.05,318.0,0.85,23.41,31.98,25.4,34.07,23.41,31.98,34.07,25.84
SINICA,2019/10/23 09:50,121.61416670000001,25.0405,1013.25,26.561999999999998,71.16,433.6,0.55,24.57,35.71,27.0,38.83,24.57,35.71,38.83,27.62
SINICA,2019/10/23 10:00,121.61416670000001,25.0405,1013.25,27.078000000000003,68.45,694.9,1.05,24.82,39.4,28.0,44.18,24.82,39.4,44.18,28.92
SINICA,2019/10/23 10:10,121.61416670000001,25.0405,1013.25,27.285,67.18,741.4,1.1,24.88,40.25,28.2,45.32,24.88,40.25,45.32,29.21
SINICA,2019/10/23 10:20,121.61416670000001,25.0405,1013.25,26.793000000000003,67.66,643.7,1.55,23.89,36.69,26.7,40.77,23.89,36.69,40.77,27.56
SINICA,2019/10/23 10:30,121.61416670000001,25.0405,1013.25,26.730999999999998,68.23,459.6,0.65,24.21,35.94,26.8,39.2,24.21,35.94,39.2,27.46
SINICA,2019/10/23 10:40,121.61416670000001,25.0405,1013.25,26.230999999999998,69.34,431.2,0.9,23.51,33.96,25.9,36.88,23.51,33.96,36.88,26.46
SINICA,2019/10/23 10:50,121.61416670000001,25.0405,1013.25,27.372,68.05,596.0,0.45,25.79,41.01,29.0,45.45,25.79,41.01,45.45,29.88
SINICA,2019/10/23 11:00,121.61416670000001,25.0405,1013.25,28.21,66.11,762.0,0.5,26.76,45.29,30.6,51.0,26.76,45.29,51.0,31.75
SINICA,2019/10/23 11:10,121.61416670000001,25.0405,1013.25,28.002,65.67,759.4,0.8,25.71,42.75,29.3,48.19,25.71,42.75,48.19,30.44
SINICA,2019/10/23 11:20,121.61416670000001,25.0405,1013.25,27.39,66.27,760.8,1.35,24.6,39.79,27.9,44.8,24.6,39.79,44.8,28.92
SINICA,2019/10/23 11:30,121.61416670000001,25.0405,1013.25,27.276999999999997,66.92,759.1,1.55,24.44,39.06,27.6,43.92,24.44,39.06,43.92,28.62
SINICA,2019/10/23 11:40,121.61416670000001,25.0405,1013.25,27.646,65.55,724.0,0.95,25.04,40.91,28.5,45.97,25.04,40.91,45.97,29.49
SINICA,2019/10/23 11:50,121.61416670000001,25.0405,1013.25,27.311999999999998,65.82,710.7,1.65,24.13,38.05,27.2,42.52,24.13,38.05,42.52,28.13
SINICA,2019/10/23 12:00,121.61416670000001,25.0405,1013.25,26.595,67.36,693.7,2.25,23.42,35.93,26.2,39.98,23.42,35.93,39.98,27.05
SINICA,2019/10/23 12:10,121.61416670000001,25.0405,1013.25,26.689,67.15,578.7,1.5,23.55,35.61,26.3,39.27,23.55,35.61,39.27,27.01
SINICA,2019/10/23 12:20,121.61416670000001,25.0405,1013.25,26.38,67.99,380.4,1.0,23.18,32.85,25.4,35.34,23.18,32.85,35.34,25.93
SINICA,2019/10/23 12:30,121.61416670000001,25.0405,1013.25,26.133000000000003,68.85,403.3,1.35,22.93,32.35,25.1,34.86,22.93,32.35,34.86,25.64
SINICA,2019/10/23 12:40,121.61416670000001,25.0405,1013.25,26.299,68.65,367.9,1.4,22.94,31.84,25.1,34.09,22.94,31.84,34.09,25.51
SINICA,2019/10/23 12:50,121.61416670000001,25.0405,1013.25,25.975,68.96,348.0,1.4,22.64,31.16,24.7,33.27,22.64,31.16,33.27,25.1
SINICA,2019/10/23 13:00,121.61416670000001,25.0405,1013.25,26.061999999999998,68.45,416.5,1.35,22.86,32.5,25.1,35.1,22.86,32.5,35.1,25.63
SINICA,2019/10/23 13:10,121.61416670000001,25.0405,1013.25,26.467,68.13,426.5,0.9,23.53,34.09,25.9,36.97,23.53,34.09,36.97,26.51
SINICA,2019/10/23 13:20,121.61416670000001,25.0405,1013.25,25.961,68.31,323.3,1.15,22.59,31.05,24.6,33.05,22.59,31.05,33.05,25.02
SINICA,2019/10/23 13:30,121.61416670000001,25.0405,1013.25,25.715999999999998,68.6,225.2,0.65,22.39,29.67,24.2,31.07,22.39,29.67,31.07,24.46
SINICA,2019/10/23 13:40,121.61416670000001,25.0405,1013.25,25.875999999999998,68.78,228.7,0.5,22.75,30.27,24.6,31.74,22.75,30.27,31.74,24.86
SINICA,2019/10/23 13:50,121.61416670000001,25.0405,1013.25,25.254,69.55,224.9,1.55,21.71,28.19,23.4,29.4,21.71,28.19,29.4,23.6
SINICA,2019/10/23 14:00,121.61416670000001,25.0405,1013.25,25.226,70.2,244.7,1.25,21.93,28.77,23.6,30.19,21.93,28.77,30.19,23.91
SINICA,2019/10/23 14:10,121.61416670000001,25.0405,1013.25,26.921,67.27,556.7,0.55,24.92,38.84,27.9,42.91,24.92,38.84,42.91,28.72
SINICA,2019/10/23 14:20,121.61416670000001,25.0405,1013.25,26.279,66.43,295.6,1.15,22.53,30.84,24.6,32.64,22.53,30.84,32.64,24.93
SINICA,2019/10/23 14:30,121.61416670000001,25.0405,1013.25,25.41,68.56,159.3,0.95,21.68,27.59,23.2,28.42,21.68,27.59,28.42,23.4
SINICA,2019/10/23 14:40,121.61416670000001,25.0405,1013.25,25.230999999999998,68.93,144.4,0.8,21.58,27.21,23.1,27.94,21.58,27.21,27.94,23.22
SINICA,2019/10/23 14:50,121.61416670000001,25.0405,1013.25,25.115,69.39,119.7,0.7,21.48,26.64,22.9,27.19,21.48,26.64,27.19,22.99
SINICA,2019/10/23 15:00,121.61416670000001,25.0405,1013.25,25.016,69.43,90.4,0.5,21.36,25.99,22.7,26.32,21.36,25.99,26.32,22.72
SINICA,2019/10/23 15:10,121.61416670000001,25.0405,1013.25,25.225,69.07,133.6,0.2,22.22,27.84,23.6,28.52,22.22,27.84,28.52,23.78
